epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,1923.36,0.62409,1.19485,0.72271,1.06879,0,0.82491,0.82898,0.87368,0.67472,0.82481,0.82498,0.86854,0.64872,0.74817,1.28115,0.70244,1.12923,0,0.000576033,0.000576033,0.000576033
39,1973.43,0.60424,1.16519,0.69383,1.05917,0,0.84698,0.82033,0.88488,0.66208,0.8398,0.81892,0.87421,0.643,0.77871,1.29818,0.68691,1.16512,0,0.000567034,0.000567034,0.000567034
40,2022.22,0.60571,1.18383,0.69395,1.05847,0,0.84614,0.80284,0.8851,0.67281,0.84032,0.80284,0.876,0.66217,0.76378,1.28436,0.69987,1.15549,0,0.000558035,0.000558035,0.000558035
41,2071.88,0.60457,1.18334,0.69333,1.05948,0,0.85205,0.79143,0.8727,0.67102,0.85114,0.79046,0.8688,0.65189,0.75659,1.25755,0.68859,1.13986,0,0.000549036,0.000549036,0.000549036
42,2120.48,0.59335,1.15468,0.68193,1.05592,0,0.8479,0.80931,0.887,0.68284,0.84877,0.81334,0.88672,0.67043,0.71744,1.25521,0.67124,1.113,0,0.000540037,0.000540037,0.000540037
43,2170.65,0.58961,1.14803,0.6874,1.0483,0,0.79683,0.84594,0.86574,0.66739,0.80427,0.85102,0.87414,0.64646,0.73998,1.27634,0.68892,1.1297,0,0.000531038,0.000531038,0.000531038
44,2220.5,0.59251,1.14085,0.67274,1.05298,0,0.84099,0.81134,0.88367,0.68611,0.84523,0.81563,0.88601,0.66654,0.72725,1.26727,0.65207,1.1157,0,0.000522039,0.000522039,0.000522039
45,2269.95,0.58805,1.16116,0.67882,1.04627,0,0.84617,0.82988,0.88779,0.67807,0.85285,0.84133,0.88523,0.67419,0.7594,1.2508,0.63516,1.13499,0,0.00051304,0.00051304,0.00051304
46,2319.57,0.56822,1.10897,0.65725,1.03579,0,0.84742,0.84616,0.89336,0.70193,0.85079,0.84874,0.89447,0.67975,0.72672,1.24874,0.6298,1.11074,0,0.00050404,0.00050404,0.00050404
47,2368.14,0.57868,1.09695,0.65622,1.03964,0,0.84848,0.81714,0.8908,0.68544,0.8443,0.82813,0.88648,0.6803,0.74772,1.24116,0.66423,1.1301,0,0.000495041,0.000495041,0.000495041
48,2418.93,0.57678,1.1171,0.66147,1.04435,0,0.87231,0.8116,0.89188,0.69781,0.86636,0.82328,0.89335,0.67911,0.72722,1.29392,0.64417,1.12567,0,0.000486042,0.000486042,0.000486042
49,2468.3,0.55805,1.07196,0.63582,1.0327,0,0.86475,0.82367,0.90489,0.69902,0.86569,0.82294,0.89842,0.67695,0.71483,1.2641,0.63226,1.11371,0,0.000477043,0.000477043,0.000477043
50,2517.94,0.57939,1.08708,0.65316,1.03881,0,0.88814,0.85009,0.91543,0.71087,0.88481,0.84884,0.91439,0.69986,0.71864,1.22095,0.59892,1.10644,0,0.000468044,0.000468044,0.000468044
