epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
44,2387.29,0.8138,1.62828,0.9598,1.10241,0,0.71014,0.65043,0.7097,0.49742,0.70955,0.65497,0.70915,0.47053,0.8978,1.7917,1.02658,1.19296,0,0.000638047,0.000638047,0.000638047
45,2443.56,0.81828,1.66797,0.97042,1.11366,0,0.70723,0.64088,0.69779,0.49278,0.67157,0.66783,0.70023,0.46966,0.91684,1.78966,1.02601,1.21112,0,0.000627048,0.000627048,0.000627048
46,2501.81,0.81797,1.62741,0.9459,1.09292,0,0.70096,0.67674,0.71373,0.49401,0.68902,0.67004,0.69864,0.47311,0.93805,1.82647,1.03289,1.21672,0,0.000616049,0.000616049,0.000616049
47,2560.04,0.81055,1.6694,0.95914,1.08809,0,0.72894,0.65357,0.71099,0.50555,0.72973,0.65889,0.70723,0.47971,0.89858,1.78302,1.04393,1.1942,0,0.000605051,0.000605051,0.000605051
48,2617.83,0.81813,1.59007,0.94224,1.0919,0,0.6351,0.63182,0.66704,0.46127,0.70538,0.58632,0.66256,0.43478,0.93483,1.79758,1.12396,1.23312,0,0.000594052,0.000594052,0.000594052
49,2675.31,0.8017,1.59724,0.91227,1.09012,0,0.69658,0.68879,0.71388,0.50607,0.70343,0.68835,0.72163,0.47245,0.91271,1.81629,0.99825,1.21507,0,0.000583053,0.000583053,0.000583053
50,2731.21,0.78818,1.59498,0.9133,1.09106,0,0.75519,0.67041,0.72888,0.51002,0.74917,0.67017,0.72328,0.4881,0.90891,1.79591,0.97887,1.20822,0,0.000572054,0.000572054,0.000572054
51,2784.56,0.7823,1.58458,0.88307,1.08908,0,0.75623,0.66419,0.72537,0.51438,0.75631,0.66341,0.72286,0.49033,0.89839,1.79065,0.98883,1.18754,0,0.000561055,0.000561055,0.000561055
52,2840.62,0.77485,1.56813,0.8885,1.08046,0,0.73343,0.64832,0.71849,0.5074,0.70708,0.64889,0.71152,0.48449,0.89782,1.7336,1.00934,1.19039,0,0.000550056,0.000550056,0.000550056
53,2896.75,0.77538,1.57917,0.89494,1.06893,0,0.71239,0.69406,0.71314,0.49464,0.71735,0.69102,0.71048,0.46575,0.91959,1.82853,1.04678,1.2224,0,0.000539057,0.000539057,0.000539057
54,2951.48,0.77021,1.55357,0.88427,1.07149,0,0.7168,0.67819,0.71796,0.50906,0.72125,0.67438,0.71589,0.47992,0.90937,1.77017,0.98817,1.21069,0,0.000528058,0.000528058,0.000528058
55,3007.83,0.77511,1.55038,0.90024,1.07978,0,0.75521,0.68045,0.74032,0.50685,0.753,0.68563,0.73301,0.47882,0.95794,1.74767,0.97622,1.23058,0,0.000517059,0.000517059,0.000517059
56,3064.61,0.76659,1.55225,0.87108,1.07274,0,0.71008,0.66996,0.7214,0.51029,0.73179,0.65051,0.71256,0.47352,0.90196,1.82946,0.99475,1.20098,0,0.00050606,0.00050606,0.00050606
57,3119.95,0.77692,1.54926,0.87395,1.07724,0,0.73401,0.68923,0.73644,0.52454,0.73097,0.6913,0.73521,0.50138,0.90273,1.71132,0.97127,1.20739,0,0.000495062,0.000495062,0.000495062
58,3177.69,0.78466,1.52532,0.8797,1.0747,0,0.71888,0.668,0.72709,0.51582,0.71826,0.66746,0.71877,0.48623,0.89115,1.80975,0.9826,1.19848,0,0.000484063,0.000484063,0.000484063
59,3231.7,0.75615,1.51565,0.85086,1.06676,0,0.72578,0.66649,0.72326,0.51664,0.73485,0.66846,0.72667,0.4855,0.89237,1.72035,0.94856,1.19943,0,0.000473064,0.000473064,0.000473064
